中文名,英文名,分子式,分子量,CAS号,危规号,性状,溶解性,熔点（℃）,沸点（℃）,相对密度（水＝1）,临界温度（℃）,临界压力（MPa）,相对密度（空气＝1）,燃烧热（KJ/mol）,最小点火能（mJ）,饱和蒸汽压（KPa）,燃烧性,燃烧分解产物,闪点（℃）,聚合危害,爆炸下限（％）,爆炸上限（％）,稳定性,最大爆炸压力（MPa）,引燃温度（℃）,禁忌物,危险特性,消防措施,灭火方法,接触限值,毒理资料,侵入途径,健康危害,皮肤接触,眼睛接触,吸入,食入,工程防护,呼吸系统防护,身体防护,手防护,其他防护,泄漏处理,包装标志,UN编号,包装分类,包装方法,储运条件,饱和蒸汽压（kPa）,饱和蒸汽压（UPa）
次氯酸钠溶液,sodium hupochlorite solution,NaClO,74.44,7681－52－9,83501,微黄色溶液，有似氯气的气味。,溶于水。,－6,102.2,1.10,,,,,,,不燃,氯化物,,不聚合,,,不稳定,,,碱类,受高热分解产生有毒的腐蚀性烟气。具有腐蚀性。,,灭火剂：雾状水、二氧化碳、砂土。,,LD50  8500mg/kg（小鼠经口）。,吸入、食入。,经常用手接触本品的工人，手掌大量出汗，指甲变薄，毛发脱落。本品有致敏作用。本品放出的游离氯可能引起中毒。,脱去被污染的衣着，用大量流动清水冲洗。,提起眼睑，用流动清水或生理盐水冲洗。就医。,迅速脱离现场至空气新鲜处。保持呼吸道畅通。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。就医。,生产过程密闭，全面通风。提供安全淋浴和洗眼设备。,高浓度环境中，应该佩戴直接式防毒面具（半面罩）。,穿防腐工作服。,戴橡胶手套。,工作场所禁止吸烟、进食和饮水。工作毕，淋浴更衣。注意个人清洁卫生。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。建议应急处理人员戴自给正压式呼吸器，穿一般作业工作服。不要直接接触泄漏物。尽可能切断泄漏源。防止进入下水道、排洪沟等限制性空间。小量泄漏：用砂土、蛭石或其它惰性材料吸收。大量泄漏：构筑围堤或挖坑收容。用泡沫覆盖，降低蒸气灾害。用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,20,1791,Ⅲ,小开口钢桶；钢塑复合桶。,储存于阴凉、干燥、通风良好的库房。远离火种、热源。防止阳光直射。应与还原剂、易燃或可燃物、酸类、碱类等分开存放。分装和搬运作业要注意个人防护。搬运时要轻装轻卸，防止包装及容器损坏。,,
石脑油；粗汽油, Grude oil,,,8030－30－6,32004,无色或浅黄色液体。,不溶于水，溶于多数有机溶剂。,,20～160,0.78～0.97,,,,,,,易燃,一氧化碳、二氧化碳。,－2,不聚合,1.1,8.7,稳定,,350,强氧化剂,其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。与氧化剂能发生强烈反应。其蒸气比空气重，能在较低处扩散到相当远的地方，遇明火会引起回燃。,,喷水冷却容器，可能的话将容器从火场移至空旷处。处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离。灭火剂：泡沫、砂土、干粉、二氧化碳。用水灭火无效。,,LC50  16000mg/m3，4小时（大鼠吸入）。,吸入、食入。,石脑油蒸气可引起眼及上呼吸道刺激症状，如浓度过高，几分钟即可引起呼吸困难、紫绀等缺氧症状。,脱去被污染的衣着，用肥皂水和清水彻底冲洗皮肤。,提起眼睑，用流动清水或生理盐水冲洗。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,生产过程密闭，全面通风。提供安全淋浴和洗眼设备。,空气中浓度超标时，佩戴过滤式防毒面具（半面罩）。,穿防静电工作服。,戴乳胶手套。,工作现场严禁吸烟。工作毕，淋浴更衣。注意个人清洁卫生。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。尽可能切断泄漏源。防止进入下水道、排洪沟等限制性空间。小量泄漏：用砂土、蛭石或其它惰性材料吸收。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7,1256,Ⅰ,小开口钢桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存于阴凉、通风仓间内。远离火种、热源。仓内温度不宜超过30℃。保持容器密封。应与氧化剂、强酸分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。罐储时要有防火防爆技术措施。禁止使用易产生火花机械设备和工具。灌装时应注意流速（不超过3m/s），且有接地装置，防止静电积聚。搬运时要注意轻装轻卸，防止包装及容器损坏。,,
双环戊二烯,Cicyclopentadiene,C10H12,132.2,,33517,有类似樟脑气味。,不溶于水，溶于醇。,32.5℃,172℃,0.979(20/20℃),,,,,,1333(47.6℃,,,32.2℃,,,,,,,,遇高热、明火、强氧化剂有引起燃烧的危险。,,用泡沫、干粉、雾状水、二氧化碳灭火。,,LD50 ：353mg/kg（大鼠经口）； 5080 mg/kg（兔经皮）。,吸入、食入、经皮肤吸收。,该药吸入高浓度时，可引发支气管炎、肺炎、肺水肿等肺部疾病及肝、肾功能障碍。,应使吸入蒸气的患者脱离污染区，安置休息并保暖；眼镜受刺激用水冲洗并就医诊治；皮肤接触先用水冲洗，再用肥皂彻底洗涤；误服立即漱口，急送医院诊治。,,,,,,,,,首先切断一切火源，戴好防毒面具与手套；用砂土吸收，倒置空旷地方掩埋；对污染地面用肥皂或洗涤剂刷洗，经稀释的污水放入废水系统。,易燃液体,2048,Ⅲ,铁桶。,储存在阴凉、干燥、通风的仓间内。远离火种、热源，避光保存；与氧化剂隔离储运。,,
乙酸丁酯,butyl acetate,C6H12O2,116.16,123－86－4,32130,无色透明液体，有果子香味。,微溶于水，溶于醇、醚等多数有机溶剂。,－73.6,126.1,0.88,305.9,,4.1,3463.5,,2.00（25℃）,易燃,一氧化碳、二氧化碳。,22,不聚合,1.2,7.5,稳定,,370,强氧化剂、酸类、碱类。,易燃，其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。与氧化剂接触发生化学强烈反应。其蒸气比空气重，能在较低处扩散到相当远的地方，遇明火会引着回燃。,灭火剂：抗溶性泡沫、干粉、二氧化碳、砂土。用水灭火无效，但可用水保持火场中容器冷却。,,,,吸入、食入、经皮肤吸收。,对眼及上呼吸道有强烈的刺激作用，有麻醉作用。吸入高浓度本品出现流泪、咽痛、咳嗽、胸闷、气短等，严重者出现心血管和神经系统的症状。可引起结膜炎、角膜炎，角膜上皮有空泡形成。皮肤接触可引起皮肤干燥。,脱去被污染的衣着，用肥皂水和清水彻底冲洗皮肤。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。,生产过程密闭，全面通风。提供安全淋浴和洗眼设备。,可能接触其蒸气时，应该佩戴自吸过滤式防毒面具（半面罩）。紧急事态抢救或撤离时，建议佩戴空气呼吸器。,穿防静电工作服。,戴防苯耐酸手套。,工作场所禁止吸烟。工作毕，淋浴更衣。注意个人清洁卫生。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。尽可能切断泄漏源，防止进入下水道排洪沟等限制性空间。小量泄漏：用活性炭或其它惰性材料吸收。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7,1123,Ⅱ,小开口钢桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存在阴凉、通风的仓间内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。保持容器密封。应与氧化剂分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。禁止使用易产生火花的机械设备和工具。定期检查是否有泄漏现象。灌装时应注意流速（不超过3m/s），且有接地装置，防止静电积聚。搬运时要轻装轻卸，防止包装及容器损坏。,,
双氧水,hydrogen peroxide,H2O2,34.01,7722－84－1,51001,无色透明液体，有微弱的特殊气味。,微溶于水、醇、醚，不溶于石油醚、苯。,－2（无水）,158（无水）,1.46（无水）,,,,,,0.13（15.3℃）,不燃,氧气、水。,,不聚合,,,稳定,,,易燃或可燃物、强还原剂、铜、铁、铁盐、锌、活性金属粉末。,爆炸性强氧化剂。过氧化氢本身不燃，但能与可燃物反应放出大量热量和氧气而引起着火爆炸。过氧化氢在PH值为3.5～4.5时最稳定，在碱性溶液中极易分解，在遇强光，特别是短波射线照射时也能发生分解。当加热到100℃以上时，开始急剧分解。它与许多有机物如糖、淀粉、醇类、石油产品等形成爆炸性混合物，在撞击、受热或电火花作用下能发生爆炸。过氧化氢与许多有机化合物或杂质接触后会迅速分解而导致爆炸，放出大量的热量、氧和水蒸气。大多数重金属（如铁、铜、银、铅、汞、锌、钴、镍、铬、锰等）及其氧化物和盐类都是活性催化剂，尘土、香烟灰、碳粉、铁锈等也能加速分解。浓度超过74％的过氧化氢，在具有适当的点火源或温度的密闭容器中，会产生气相爆炸。,消防人员必须穿戴全身防火防毒服。尽可能将容器从火场移至空旷处。喷水冷却火场容器，直至灭火结束。处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离。灭火剂：雾状水、干粉、砂土。,,,,吸入、食入。,吸入本品蒸气或雾对呼吸道有强烈刺激性。眼直接接触液体可致不可逆损伤甚至失明。口服中毒出现腹痛、胸口痛、呼吸困难、呕吐，一时性运动和感觉障碍、体温升高、结膜和皮肤出血。个别病例出现视力障碍、癫痫样痉挛、轻瘫，长期接触本品可致接触性皮炎。,立即脱去被污染的衣着，用大量流动清水冲洗皮肤。,立即提起眼睑，用大量流动清水或生理盐水冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。,生产过程密闭，全面通风。提供安全淋浴和洗眼设备。,可能接触其蒸气时，应佩戴自吸过滤式防毒面具（全面罩）。,穿聚乙烯防毒服。,戴氯丁橡胶手套。,工作场所禁止吸烟。工作毕，淋浴更衣。注意个人清洁卫生。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服。尽可能切断泄漏源，防止进入下水道、排洪沟等限制性空间。小量泄漏：用砂土、蛭石或其它惰性材料吸收。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；喷雾状水冷却和稀释蒸气、保护现场人员、把泄漏物稀释成不燃物。用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,"11,20",2015,Ⅰ,玻璃瓶、塑料桶外木板箱或半花格箱。,储存在阴凉、通风的仓间内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。保持容器密封。应与易燃或可燃物、还原剂、酸类、金属粉末等分开存放。搬运时要轻装轻卸，防止包装及容器损坏。夏季应早晚运输，防止日光暴晒。禁止撞击和振荡。,,
丙烯酸丁酯,n-butyl acrylate,C7H12O2,128.17,141－32－2,33601,无色液体。,不溶于水，可混溶于乙醇、乙醚。,－64.6,145.7,0.89,,,4.42,,,1.33（35.5℃）,易燃,一氧化碳、二氧化碳。,37,聚合,1.2,9.9,稳定,,275,强氧化剂、强碱、强酸。,易燃，遇明火、高热或与氧化剂接触，有引起燃烧爆炸的危险。容易自聚，聚合反应随着温度的上升而急骤加剧。,消防人员必须穿戴全身防火防毒服。遇大火，消防人员须在有防护掩蔽处操作。灭火剂：泡沫、干粉、二氧化碳、砂土。用水灭火无效，但可用水保持火场中容器冷却。,,,,吸入、食入、经皮肤吸收。,吸入、口服或经皮肤吸收对身体有害。其蒸气或雾对眼睛、粘膜和呼吸道有刺激作用。中毒表现有烧灼感、咳嗽、喘息、喉炎、气短、头痛、恶心和呕吐。,脱去被污染的衣着，用大量流动清水彻底冲洗至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,生产过程密闭，全面通风。提供安全淋浴和洗眼设备。,可能接触其蒸气时，应该佩戴自吸过滤式防毒面具（全面罩）或直接式防毒面具（半面罩）。紧急事态抢救时，佩戴自给式呼吸器。,穿橡胶耐酸碱服。,戴橡胶耐酸碱手套。,工作场所禁止吸烟、进食和饮水，饭前要洗手。工作毕，淋浴更衣。注意个人清洁卫生。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服。不要直接接触泄漏物。尽可能切断泄漏源，防止进入下水道排洪沟等限制性空间。小量泄漏：用砂土或其它不燃材料吸附或吸收。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。喷雾状水冷却和稀释蒸气、保护现场人员、把泄漏物稀释成不燃物。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,20,2218,Ⅱ,小开口塑料桶；玻璃瓶、塑料桶外木板箱或半花格箱。,通常商品加有阻聚剂。储存在阴凉、通风的仓间内。远离火种、热源。仓内温度不宜超过5℃（装于受压容器中例外）。防止阳光暴晒。包装要求密封。不可与空气接触。应与氧化剂、酸类分开存放。不宜大量或久存。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。禁止使用易产生火花的机械设备和工具。分装和搬运作业要注意个人防护。搬运时要轻装轻卸，防止包装及容器损坏。,,
丙烯酸,acrylic acid,C3H4O2,72.06,79－10－7,81617,"无色液体,有刺激性气味。",与水混溶，可混溶于乙醇、乙醚。,14,141,1.05,,,2.45,1366.9,,,易燃,一氧化碳、二氧化碳。,50,聚合,2.4,8.0,稳定,,438,强氧化剂、强碱。,易燃，其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。与氧化剂能发生强烈反应。若遇高热，可发生聚合反应，放出大量热量而引起容器破裂和爆炸事故。遇热、光、水分、过氧化物及铁质易自聚而引起爆炸。,消防人员戴好防毒面具，在安全距离以外，在上风向灭火。用雾状水保持火场容器冷却，用水喷射溢出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员。灭火剂：雾状水、抗溶性泡沫、干粉、二氧化碳。,,,,吸入、食入、经皮肤吸收。,本品对皮肤、眼睛和呼吸道有强烈刺激作用。,脱去被污染的衣着，用肥皂水和清水彻底冲洗皮肤。,立即提起眼睑，用大量流动清水或生理盐水冲洗。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。,生产过程密闭，全面通风。提供安全淋浴和洗眼设备。,空气中浓度超标时，应该佩戴直接式防毒面具（半面罩）。必要时，建议佩戴导管式防毒面具或自给式呼吸器。,穿防静电工作服。,戴防苯耐酸手套。,工作场所禁止吸烟。工作毕，淋浴更衣。注意个人清洁卫生。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。尽可能切断泄漏源，防止进入下水道排洪沟等限制性空间。小量泄漏：用砂土、干燥石灰或苏打灰混合。也可以用不燃性分散剂制成的乳液刷洗，洗液稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。喷雾状水冷却和稀释蒸气、保护现场人员、把泄漏物稀释成不燃物。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7,2348,Ⅲ,小开口钢桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存在阴凉、通风的仓间内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。保持容器密封。不可与空气接触。不宜大量或久存。应与氧化剂分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。罐储时要有防火防爆技术措施。禁止使用易产生火花的机械设备和工具。充装要控制流速，注意防止静电积聚。搬运时要轻装轻卸，防止包装及容器损坏。,1.33（39.9℃）,
苯乙烯,phenylethylene,C8H8,104.14,100－42－5,33541,无色透明油状液体。,不溶于水，溶于醇、醚等多数有机溶剂。,－30.6,146,0.91,369,3.81,3.6,4376.9,,1.33（30.8℃）,易燃,一氧化碳、二氧化碳。,34.4,聚合,1.1,6.1,稳定,,490,强氧化剂、酸类。,其蒸气与空气可形成爆炸性混合物。遇明火、高热或与氧化剂接触，有引起燃烧爆炸的危险。遇酸性催化剂如路易斯催化剂、齐格勒催化剂、硫酸、氯化铁、氯化铝等都能产生猛烈聚合，放出大量热量。其蒸气比空气重，能在较低处扩散到相当远的地方，遇明火会引着回燃。,尽可能将容器从火场移至空旷处。喷水保持火场容器冷却，直至灭火结束。灭火剂：泡沫、干粉、二氧化碳、砂土。用水灭火无效。遇大火，消防人员须在有防护掩蔽处操作。,,,,吸入、食入、经皮肤吸收。,对眼及上呼吸道有强烈的刺激和麻醉作用。急性中毒：高浓度时，立即引起眼及上呼吸道粘膜的刺激，出现眼痛、流泪、流涕、喷嚏、咽痛、咳嗽等，继之头痛、头晕、恶心、呕吐、全身乏力等；严重者可有眩晕、步态蹒跚。眼部受苯乙烯液体污染时，可致灼伤。慢性影响：常见精神衰弱综合症，有头痛、乏力、恶心、食欲减退、腹胀、忧郁、健忘、指颤等。对呼吸道有刺激作用，长期接触有时引起阻塞性肺部病变。皮肤粗糙、皲裂和增厚。,脱去被污染的衣着，用肥皂水和清水彻底冲洗皮肤。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。就医。,生产过程密闭，加强通风。,空气中浓度超标时，建议佩戴过滤式防毒面具（半面罩）。紧急事态抢救或撤离时，建议佩戴隔离式呼吸器。,穿防毒物渗透工作服。,戴防苯耐油手套。,工作场所禁止吸烟、进食和饮水。工作毕，淋浴更衣。保持良好的卫生习惯。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。尽可能切断泄漏源，防止进入下水道排洪沟等限制性空间。小量泄漏：用活性炭或其它惰性材料吸收。也可以用不燃性分散剂制成的乳液刷洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7,2055,Ⅲ,小开口钢桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱，安瓿瓶外木板箱。,通常商品有阻聚剂。储存在阴凉、通风的仓间内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。包装要求密封，不可与空气接触。应与氧化剂酸类分开存放。不宜大量或久存。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。禁止使用易产生火花的机械设备和工具。定期检查是否有泄漏现象。灌装时应注意流速（不超过3m/s），且有接地装置，防止静电积聚。搬运时要轻装轻卸，防止包装及容器损坏。,,
过硫酸铵,ammonum persulfate,(NH4)2S2O8,228.20,7727－54－0,51504,无色单斜晶体，有时略带浅绿色，有潮解性。,易溶于水。,分解,分解,1.98,,,7.9,,,,不燃,氧化氮、氧化硫。,,不聚合,,,稳定,,,强还原剂、活性金属粉末、水、硫、磷。,无机氧化剂。受高热或撞击时即爆炸。与还原剂、有机物、易燃物如硫、磷或金属粉末等混合可形成爆炸性混合物。,灭火剂：雾状水、泡沫、砂土。,,,,吸入、食入、经皮肤吸收。,对皮肤粘膜有刺激性和腐蚀性。吸入后引起鼻炎、喉炎、气短和咳嗽等。眼、皮肤接触可引起强烈刺激、疼痛甚至灼伤。口服引起腹痛、恶心和呕吐，长期皮肤接触可引起变应性皮炎。,脱去被污染的衣着，用大量流动清水冲洗，至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,密闭操作，局部排风。提供安全淋浴和洗眼设备。,可能接触其粉尘时，应该佩戴头罩型电动送风过滤式防尘呼吸器。高浓度环境中，建议佩戴自给式呼吸器。,穿聚乙烯防毒服。,戴橡胶手套。,工作场所禁止吸烟、进食和饮水。工作毕，彻底清洗。注意个人清洁卫生。,隔离泄漏污染区，限制出入。建议应急处理人员戴自给式呼吸器，穿防毒服。不要直接接触泄漏物。勿使泄漏物与还原剂、有机物、易燃物或金属粉末接触。小量泄漏：用砂土、干燥石灰或苏打灰混合。收集于干燥、洁净、有盖的容器中。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：收集回收或运至废物处理场所处置。,11,1444,Ⅱ,塑料袋、多层牛皮纸袋外全开口钢桶；塑料袋、多层牛皮纸外木板箱；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存于阴凉、干燥、通风良好的仓间内。远离火种、热源，防止阳光直射。应与易燃、可燃物、还原剂、硫、磷等分开存放。切忌混储混运。搬运时要轻装轻卸，防止包装及容器损坏。禁止震动、撞击和摩擦。,,
过硫酸钾；高硫酸钾,potassium；persulfate,K2S2O8,270.32,7727－21－1,51504,白色结晶，无气味，有潮解性。,溶于水，不溶于乙醇。,无资料,无资料,2.48,,,,无意义,,,不燃,氧化硫、氧气。,,不聚合,,,稳定,,,强还原剂、活性金属粉末、强碱、水、醇类。,无机氧化剂。与有机物、还原剂、易燃物如硫、磷等接触或混合时有引起燃烧爆炸的危险。急剧加热时可发生爆炸。,灭火剂：雾状水、泡沫、砂土。,,,,吸入、食入、经皮肤吸收。,吸入本品粉尘对鼻、喉和呼吸道有刺激性，引起咳嗽及胸部不适。对眼有刺激性。吞咽刺激口腔及胃肠道，引起腹痛、恶心和呕吐。慢性影响：过敏性体质者接触可发生皮疹。,脱去被污染的衣着，用大量流动清水冲洗。,提起眼睑，用流动清水或生理盐水冲洗。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。就医。,生产过程密闭，加强通风。提供安全淋浴和洗眼设备。,可能接触其粉尘时，应该佩戴头罩型电动送风过滤式防尘呼吸器。高浓度环境中，建议佩戴自给式呼吸器。,穿聚乙烯防毒服。,戴橡胶手套。,工作场所禁止吸烟、进食和饮水。工作毕，淋浴更衣。保持良好的卫生习惯。,隔离泄漏污染区，限制出入。建议应急处理人员戴自给式呼吸器，穿一般作业工作服。不要直接接触泄漏物。勿使泄漏物与有机物、还原剂、易燃物接触。小量泄漏：将地面洒上苏打灰。收集于干燥、洁净、有盖的容器中。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：收集回收或运至废物处理场所处置。,11,1492,Ⅱ,塑料袋、多层牛皮纸袋外全开口钢桶；塑料袋、多层牛皮纸外木板箱；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存于阴凉、干燥、通风良好的仓间内。远离火种、热源，防止阳光直射。保持容器密封。应与易燃或可燃物、还原剂、硫、磷等分开存放。切忌混储混运。搬运时要轻装轻卸，防止包装及容器损坏。禁止震动、撞击和摩擦。,,
丙烯酰胺,acrylamide,C3H5NO,71.08,79－06－1,61740,白色结晶固体，无气味。,溶于水、乙醇、乙醚、丙酮，不溶于苯。,84.5,125（3.33kPa）,1.12,,,2.45,,,,可燃,一氧化碳、二氧化碳。,,聚合,,,稳定,,,强氧化剂、酸类、碱类。,遇明火、高热或与氧化剂接触，有引起燃烧爆炸的危险。若遇高热，可发生聚合反应，放出大量热量而引起容器破裂和爆炸事故。受高热分解产生有毒的腐蚀性烟气。,灭火剂：雾状水、抗溶性泡沫、二氧化碳、干粉、砂土。,,,,吸入、食入、经皮肤吸收。,本品是一种蓄积性的神经毒物，主要损害神经系统。轻度中毒以周围神经损害为主；重度可引起小脑病变。中毒多为慢性经过，初起为神经衰弱综合症。继之发生周围神经病，出现四肢麻木、感觉异常、腱反射减弱或消失、抽搐、瘫痪等。重度中毒出现以小脑病变为主的中毒性脑病。出现震颤、步态紊乱、共济失调，甚至大小便失禁或小便潴留。皮肤接触本品，可发生粗糙、角化、脱屑。本品中毒主要因皮肤吸收引起。,脱去被污染的衣着，用肥皂水和清水彻底冲洗皮肤。,提起眼睑，用流动清水或生理盐水冲洗。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。就医。,严加密闭，提供充分的局部排风。提供安全淋浴和洗眼设备。,空气中粉尘浓度超标时，应该佩戴头罩型电动送风过滤式防尘呼吸器。紧急事态抢救或撤离时，佩戴空气呼吸器。,穿胶布防毒衣。,戴橡胶手套。,工作场所禁止吸烟、进食和饮水。工作毕，彻底清洗。单独存放被毒物污染的衣服，洗后备用。实行就业前和定期的体检。,隔离泄漏污染区，限制出入。切断火源。建议应急处理人员戴自给式呼吸器，穿防毒服。不要直接接触泄漏物。小量泄漏：避免扬尘，用洁净的铲子收集于干燥、洁净、有盖的容器中。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：收集回收或运至废物处理场所处置。,14,2074,Ⅲ,螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱；塑料瓶、镀锡薄钢板桶外满底花格箱。,储存于阴凉、通风仓间内。远离火种、热源，防止阳光直射。包装要求密封。不可与空气接触。不宜大量或久存。应与氧化剂、酸类、碱类分开存放。搬运时要轻装轻卸，防止包装及容器损坏。分装和搬运作业要注意个人防护。,0.21（84.5℃）,
